          24          10
     1   T    1.6533915540E-01
 -1.0000000106E+00 -2.2257080017E-10  8.6376631946E-14  2.8000394586E-08 -1.6850402746E-14  3.0037632078E-05
 -2.4574554330E-10  3.8405006606E-14  2.0705429143E-10  4.8172568354E-09 -2.4467344401E-05  1.3093264577E-05
  1.9809583441E-10 -8.6656963058E-15  2.5699740067E-10  1.8564765159E-05  4.9640650007E-11  2.7973463563E-06
  6.2259684847E-08 -8.9458252288E-15 -4.8929657328E-12 -4.8544278816E-08  3.4436979547E-11  2.8215140049E-11
     2   T    2.6572162331E-01
  1.3496881894E-10 -1.0521212906E+00  3.4916051014E-04  1.2918501238E-10 -4.6761873645E-05  1.0923220196E-07
  3.5840632541E-03 -2.3440324422E-05  2.3250205673E-02  4.5698494937E-10 -8.0755490726E-07  8.9592727571E-09
 -6.3458519831E-02 -6.2543999280E-06  4.6973254374E-02 -6.3183043378E-07  8.5827125923E-03 -1.8270386746E-07
 -1.2866748062E-08 -2.0329507662E-05 -2.9466979534E-02 -1.3370008914E-07  8.4703506826E-03  3.0100099820E-02
     3   T    3.1970365073E-01
  5.0469505953E-15  3.0579805464E-04  9.9999995986E-01  2.4617985813E-13  1.2652029281E-08 -3.9438591599E-10
 -2.7520456619E-05 -1.3500522445E-08 -1.0956447546E-05  2.1785531336E-13  2.7429760144E-11  1.9372740776E-10
  3.5261518158E-06  1.1469905607E-10 -1.0076183357E-05  1.1642519777E-10 -8.5921632254E-07 -1.7646523465E-11
 -2.9711266600E-11 -5.6057819291E-09 -8.1346766088E-06 -1.0055500447E-11  2.2843351259E-06  8.2251024406E-06
     4   T    3.4252467432E-01
 -1.4176116516E-08 -1.0922303008E-10  2.6319153478E-13 -1.0000000048E+00 -1.0387485318E-13 -4.4693620024E-05
  4.3918631353E-10 -4.7460542363E-14 -1.9966020607E-10 -6.2069393105E-09  3.1272582897E-05 -1.6653075729E-05
 -3.5670726870E-10  1.2215868139E-15 -2.1279272598E-10 -2.2368706276E-05 -4.1638835005E-11 -3.1767278861E-06
 -7.0045791761E-08 -3.0780550318E-15 -1.3574582421E-11  5.4081715477E-08 -3.2577585192E-11 -1.1577844682E-11
     5   T    4.6760742354E-01
 -1.1252995723E-14 -3.1299895608E-05 -1.2066634471E-10 -5.5993610227E-14  1.0000000016E+00 -1.4540408913E-09
 -9.1097465800E-05 -8.8508358068E-09 -5.2414112272E-05  6.7339522090E-14  8.5770593317E-10  4.8784333264E-10
