#      REAL   NALLORB   NKPOINT
          T        10         1
#   IKPOINT
          1
# MATRIX
  -5.048917200000000E-01   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00  -4.391796577890777E-01   6.035164817630782E-07   1.134610985714587E-04   3.612399200493854E-01  -3.230208032218359E-01  -3.230210772971042E-01
   0.000000000000000E+00  -1.943551100000000E-01   0.000000000000000E+00   0.000000000000000E+00  -8.654052657149414E-07  -1.866112226818193E-01   2.858140162018802E-10   9.099808979615588E-07  -2.336605911883433E-01   2.336603815738626E-01
   0.000000000000000E+00   0.000000000000000E+00  -1.943551100000000E-01   0.000000000000000E+00  -1.626961899544090E-04   2.858140162018802E-10  -1.866111689503045E-01   1.710764088167730E-04  -9.523404812264204E-05  -1.049316391376114E-04
   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00  -1.943551100000000E-01  -5.179956777384367E-01   9.099808979615588E-07   1.710764088167730E-04   3.580655786291841E-01   1.458622584052821E-01   1.458629353028259E-01
  -4.391796577890777E-01  -8.654052657149414E-07  -1.626961899544090E-04  -5.179956777384367E-01  -8.788324600000000E-01   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00  -5.573222557564006E-02  -5.573184773187419E-02
   6.035164817630782E-07  -1.866112226818193E-01   2.858140162018802E-10   9.099808979615588E-07   0.000000000000000E+00  -3.321316700000000E-01   0.000000000000000E+00   0.000000000000000E+00  -2.812646832014586E-02   2.812633250728844E-02
   1.134610985714587E-04   2.858140162018802E-10  -1.866111689503045E-01   1.710764088167730E-04   0.000000000000000E+00   0.000000000000000E+00  -3.321316700000000E-01   0.000000000000000E+00  -2.095183996673642E-07  -1.376825619220552E-06
   3.612399200493854E-01   9.099808979615588E-07   1.710764088167730E-04   3.580655786291841E-01   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00  -3.321316700000000E-01   5.338908949763842E-02   5.338877793362297E-02
  -3.230208032218359E-01  -2.336605911883433E-01  -9.523404812264204E-05   1.458622584052821E-01  -5.573222557564006E-02  -2.812646832014586E-02  -2.095183996673642E-07   5.338908949763842E-02  -2.386004000000000E-01  -6.164065393423149E-02
  -3.230210772971042E-01   2.336603815738626E-01  -1.049316391376114E-04   1.458629353028259E-01  -5.573184773187419E-02   2.812633250728844E-02  -1.376825619220552E-06   5.338877793362297E-02  -6.164065393423149E-02  -2.386004000000000E-01
